ARC,TYPE,DESCENT,LINE,REND,FROM,TO
CRA390,other,lineal,heptarchy,brown,CRN373,CRN374
CRA389,other,lineal,heptarchy,brown,CRN372,CRN373
CRA390,other,lineal,heptarchy,brown,CRN373,CRN374
CRA391,child,lineal,heptarchy,brown,CRN374,CRN375
CRA392,sibling,lineal,heptarchy,brown,CRN375,CRN376
CRA391,child,lineal,heptarchy,brown,CRN374,CRN375
CRA393,other,lineal,heptarchy,brown,CRN376,CRN377
CRA392,sibling,lineal,heptarchy,brown,CRN375,CRN376
CRA394,other,lineal,heptarchy,brown,CRN377,CRN378
CRA393,other,lineal,heptarchy,brown,CRN376,CRN377
CRA394,other,lineal,heptarchy,brown,CRN377,CRN378
CRA395,nonfamilial,lineal,heptarchy,brown,CRN378,CRN379
CRA395,nonfamilial,lineal,heptarchy,brown,CRN378,CRN379
CRA396,nonfamilial,lineal,heptarchy,brown,CRN379,CRN380
CRA396,nonfamilial,lineal,heptarchy,brown,CRN379,CRN380
CRA397,nonfamilial,lineal,heptarchy,brown,CRN380,CRN381
CRA398,child,lineal,heptarchy,none,CRN381,CRN382
CRA397,nonfamilial,lineal,heptarchy,brown,CRN380,CRN381
CRA399,nonfamilial,lineal,heptarchy,brown,CRN382,CRN383
CRA398,child,lineal,heptarchy,none,CRN381,CRN382
CRA399,nonfamilial,lineal,heptarchy,brown,CRN382,CRN383
CRA400,child,lineal,heptarchy,brown,CRN383,CRN384
CRA401,nonfamilial,lineal,heptarchy,brown,CRN384,CRN385
CRA400,child,lineal,heptarchy,brown,CRN383,CRN384
CRA401,nonfamilial,lineal,heptarchy,brown,CRN384,CRN385
CRA402,nonfamilial,lineal,heptarchy,brown,CRN385,CRN386
CRA403,nonfamilial,lineal,heptarchy,brown,CRN386,CRN387
CRA402,nonfamilial,lineal,heptarchy,brown,CRN385,CRN386
CRA413,nonfamilial,lineal,heptarchy,brown,CRN387,CRN392
CRA403,nonfamilial,lineal,heptarchy,brown,CRN386,CRN387
CRA405,child,lineal,heptarchy,red,CRN388,CRN389
CRA404,kingdom,lineal,heptarchy,red,CRN090,CRN388
CRA406,nonfamilial,lineal,heptarchy,red,CRN389,CRN390
CRA405,child,lineal,heptarchy,red,CRN388,CRN389
CRA406,nonfamilial,lineal,heptarchy,red,CRN389,CRN390
CRA407,unspecified,lineal,heptarchy,red,CRN390,CRN391
CRA407,unspecified,lineal,heptarchy,red,CRN390,CRN391
CRA414,nonfamilial,lineal,heptarchy,red,CRN391,CRN392
CRA413,nonfamilial,lineal,heptarchy,brown,CRN387,CRN392
CRA412,nonfamilial,lineal,heptarchy,red,CRN370,CRN392
CRA415,child,lineal,central,red,CRN392,CRN393
CRA409,nonfamilial,lineal,heptarchy,blue,CRN318,CRN392
CRA408,nonfamilial,lineal,heptarchy,red,CRN306,CRN392
CRA411,nonfamilial,lineal,heptarchy,green,CRN354,CRN392
CRA410,nonfamilial,lineal,heptarchy,red,CRN340,CRN392
CRA414,nonfamilial,lineal,heptarchy,red,CRN391,CRN392
CRA418,child,nonlineal,central,red,CRN393,CRN395
CRA422,child,nonlineal,central,red,CRN393,CRN397
CRA415,child,lineal,central,red,CRN392,CRN393
CRA417,child,nonlineal,central,brown,CRN393,CRN394
CRA419,child,nonlineal,central,brown,CRN393,CRN396
CRA416,child,lineal,central,red,CRN393,CRN394
CRA417,child,nonlineal,central,brown,CRN393,CRN394
CRA416,child,lineal,central,red,CRN393,CRN394
CRA420,sibling,lineal,central,red,CRN394,CRN395
CRA418,child,nonlineal,central,red,CRN393,CRN395
CRA421,sibling,lineal,central,red,CRN395,CRN396
CRA420,sibling,lineal,central,red,CRN394,CRN395
CRA419,child,nonlineal,central,brown,CRN393,CRN396
CRA423,sibling,lineal,central,red,CRN396,CRN397
CRA421,sibling,lineal,central,red,CRN395,CRN396
CRA425,child,lineal,central,red,CRN397,CRN399
CRA422,child,nonlineal,central,red,CRN393,CRN397
CRA423,sibling,lineal,central,red,CRN396,CRN397
CRA424,child,nonlineal,central,red,CRN397,CRN398
CRA424,child,nonlineal,central,red,CRN397,CRN398
CRA425,child,lineal,central,red,CRN397,CRN399
CRA433,child,lineal,central,red,CRN399,CRN405
CRA430,child,nonlineal,central,blue,CRN399,CRN404
CRA427,child,nonlineal,central,blue,CRN399,CRN401
CRA426,child,nonlineal,central,red,CRN399,CRN400
CRA428,child,nonlineal,central,blue,CRN399,CRN402
CRA429,child,nonlineal,central,red,CRN399,CRN403
CRA426,child,nonlineal,central,red,CRN399,CRN400
CRA427,child,nonlineal,central,blue,CRN399,CRN401
CRA428,child,nonlineal,central,blue,CRN399,CRN402
CRA432,same,nonlineal,central,red,CRN403,CRN409
CRA429,child,nonlineal,central,red,CRN399,CRN403
CRA431,same,nonlineal,central,blue,CRN404,CRN406
CRA430,child,nonlineal,central,blue,CRN399,CRN404
CRA434,sibling,lineal,central,red,CRN405,CRN406
CRA433,child,lineal,central,red,CRN399,CRN405
CRA434,sibling,lineal,central,red,CRN405,CRN406
CRA431,same,nonlineal,central,blue,CRN404,CRN406
CRA435,child,nonlineal,central,red,CRN406,CRN407
CRA437,sibling,lineal,central,red,CRN406,CRN409
CRA436,child,nonlineal,central,brown,CRN406,CRN408
CRA438,same,nonlineal,central,red,CRN407,CRN410
CRA435,child,nonlineal,central,red,CRN406,CRN407
CRA436,child,nonlineal,central,brown,CRN406,CRN408
CRA432,same,nonlineal,central,red,CRN403,CRN409
CRA439,other,lineal,central,red,CRN409,CRN410
CRA437,sibling,lineal,central,red,CRN406,CRN409
CRA440,sibling,lineal,central,red,CRN410,CRN411
CRA438,same,nonlineal,central,red,CRN407,CRN410
CRA439,other,lineal,central,red,CRN409,CRN410
CRA440,sibling,lineal,central,red,CRN410,CRN411
CRA441,child,nonlineal,central,brown,CRN411,CRN412
CRA443,child,lineal,central,red,CRN411,CRN414
CRA442,child,nonlineal,central,blue,CRN411,CRN413
CRA444,child,nonlineal,central,red,CRN411,CRN415
CRA441,child,nonlineal,central,brown,CRN411,CRN412
CRA442,child,nonlineal,central,blue,CRN411,CRN413
CRA443,child,lineal,central,red,CRN411,CRN414
CRA445,sibling,lineal,central,red,CRN414,CRN415
CRA450,child,lineal,central,red,CRN415,CRN419
CRA446,child,nonlineal,central,blue,CRN415,CRN416
CRA444,child,nonlineal,central,red,CRN411,CRN415
CRA445,sibling,lineal,central,red,CRN414,CRN415
CRA447,spouse,nonlineal,central,blue,CRN415,CRN417
CRA446,child,nonlineal,central,blue,CRN415,CRN416
CRA449,child,nonlineal,central,red,CRN417,CRN418
CRA448,same,nonlineal,norman,blue,CRN616,CRN417
CRA447,spouse,nonlineal,central,blue,CRN415,CRN417
CRA449,child,nonlineal,central,red,CRN417,CRN418
CRA461,nonfamilial,lineal,central,red,CRN419,CRN428
CRA450,child,lineal,central,red,CRN415,CRN419
CRA451,child,nonlineal,central,green,CRN419,CRN420
CRA453,child,nonlineal,central,green,CRN420,CRN423
CRA455,child,nonlineal,central,blue,CRN420,CRN422
CRA454,child,nonlineal,central,red,CRN420,CRN424
CRA451,child,nonlineal,central,green,CRN419,CRN420
CRA452,sibling,nonlineal,central,brown,CRN420,CRN421
CRA452,sibling,nonlineal,central,brown,CRN420,CRN421
CRA453,child,nonlineal,central,green,CRN420,CRN423
CRA456,child,nonlineal,central,green,CRN423,CRN425
CRA454,child,nonlineal,central,red,CRN420,CRN424
CRA455,child,nonlineal,central,blue,CRN420,CRN422
CRA457,child,nonlineal,central,green,CRN425,CRN426
CRA456,child,nonlineal,central,green,CRN423,CRN425
CRA457,child,nonlineal,central,green,CRN425,CRN426
CRA458,child,nonlineal,central,green,CRN426,CRN427
CRA459,other,nonlineal,central,green,CRN427,CRN447
CRA458,child,nonlineal,central,green,CRN426,CRN427
CRA461,nonfamilial,lineal,central,red,CRN419,CRN428
CRA464,child,lineal,central,red,CRN428,CRN431
CRA462,parent,nonlineal,central,red,CRN430,CRN428
CRA460,spouse,nonlineal,central,none,CRN428,CRN429
CRA463,child,nonlineal,central,blue,CRN428,CRN432
CRA460,spouse,nonlineal,central,none,CRN428,CRN429
CRA462,parent,nonlineal,central,red,CRN430,CRN428
CRA465,sibling,lineal,central,red,CRN431,CRN432
CRA464,child,lineal,central,red,CRN428,CRN431
CRA465,sibling,lineal,central,red,CRN431,CRN432
CRA463,child,nonlineal,central,blue,CRN428,CRN432
CRA466,nonfamilial,lineal,central,red,CRN432,CRN433
CRA467,other,lineal,central,red,CRN433,CRN434
CRA466,nonfamilial,lineal,central,red,CRN432,CRN433
CRA467,other,lineal,central,red,CRN433,CRN434
CRA468,other,lineal,central,red,CRN434,CRN435
CRA472,child,nonlineal,central,blue,CRN435,CRN439
CRA470,child,nonlineal,central,green,CRN435,CRN437
CRA667,child,lineal,norman,brown,CRN622,CRN435
CRA473,child,nonlineal,central,red,CRN435,CRN440
CRA469,child,nonlineal,central,red,CRN435,CRN436
CRA475,child,nonlineal,central,green,CRN435,CRN442
CRA474,child,lineal,central,red,CRN435,CRN441
CRA468,other,lineal,central,red,CRN434,CRN435
CRA469,child,nonlineal,central,red,CRN435,CRN436
CRA470,child,nonlineal,central,green,CRN435,CRN437
CRA471,spouse,nonlineal,central,red,CRN437,CRN438
CRA480,same,nonlineal,central,green,CRN438,CRN448
CRA471,spouse,nonlineal,central,red,CRN437,CRN438
CRA472,child,nonlineal,central,blue,CRN435,CRN439
CRA473,child,nonlineal,central,red,CRN435,CRN440
CRA476,sibling,lineal,central,red,CRN441,CRN443
CRA474,child,lineal,central,red,CRN435,CRN441
CRA475,child,nonlineal,central,green,CRN435,CRN442
CRA476,sibling,lineal,central,red,CRN441,CRN443
CRA477,child,nonlineal,central,red,CRN443,CRN444
CRA478,child,nonlineal,central,blue,CRN443,CRN445
CRA479,child,lineal,central,red,CRN443,CRN446
CRA477,child,nonlineal,central,red,CRN443,CRN444
CRA483,child,nonlineal,central,green,CRN444,CRN449
CRA478,child,nonlineal,central,blue,CRN443,CRN445
CRA479,child,lineal,central,red,CRN443,CRN446
CRA482,other,lineal,central,red,CRN446,CRN448
CRA459,other,nonlineal,central,green,CRN427,CRN447
CRA481,other,lineal,central,red,CRN448,CRN449
CRA480,same,nonlineal,central,green,CRN438,CRN448
CRA482,other,lineal,central,red,CRN446,CRN448
CRA485,child,nonlineal,central,blue,CRN449,CRN451
CRA484,child,nonlineal,central,red,CRN449,CRN450
CRA495,child,nonlineal,central,red,CRN449,CRN460
CRA494,child,nonlineal,central,green,CRN449,CRN459
CRA481,other,lineal,central,red,CRN448,CRN449
CRA486,child,nonlineal,central,green,CRN449,CRN452
CRA487,child,nonlineal,central,red,CRN449,CRN453
CRA490,child,nonlineal,central,blue,CRN449,CRN456
CRA492,child,lineal,central,red,CRN449,CRN458
CRA483,child,nonlineal,central,green,CRN444,CRN449
CRA484,child,nonlineal,central,red,CRN449,CRN450
CRA485,child,nonlineal,central,blue,CRN449,CRN451
CRA486,child,nonlineal,central,green,CRN449,CRN452
CRA496,same,nonlineal,central,green,CRN452,CRN461
CRA487,child,nonlineal,central,red,CRN449,CRN453
CRA489,child,nonlineal,central,blue,CRN453,CRN455
CRA488,spouse,nonlineal,central,red,CRN453,CRN454
CRA488,spouse,nonlineal,central,red,CRN453,CRN454
CRA489,child,nonlineal,central,blue,CRN453,CRN455
CRA491,child,nonlineal,central,red,CRN456,CRN457
CRA490,child,nonlineal,central,blue,CRN449,CRN456
CRA491,child,nonlineal,central,red,CRN456,CRN457
CRA493,"[1] child, [2] sibling",lineal,central,red,CRN458,CRN461
CRA492,child,lineal,central,red,CRN449,CRN458
CRA494,child,nonlineal,central,green,CRN449,CRN459
CRA495,child,nonlineal,central,red,CRN449,CRN460
CRA503,child,lineal,central,red,CRN461,CRN468
CRA496,same,nonlineal,central,green,CRN452,CRN461
CRA500,child,nonlineal,central,red,CRN461,CRN465
CRA498,child,nonlineal,central,blue,CRN461,CRN463
CRA493,"[1] child, [2] sibling",lineal,central,red,CRN458,CRN461
CRA499,child,nonlineal,central,green,CRN461,CRN464
CRA497,child,nonlineal,central,red,CRN461,CRN462
CRA497,child,nonlineal,central,red,CRN461,CRN462
CRA498,child,nonlineal,central,blue,CRN461,CRN463
CRA499,child,nonlineal,central,green,CRN461,CRN464
CRA502,child,nonlineal,central,red,CRN465,CRN467
CRA501,child,nonlineal,central,red,CRN465,CRN466
CRA500,child,nonlineal,central,red,CRN461,CRN465
CRA501,child,nonlineal,central,red,CRN465,CRN466
CRA502,child,nonlineal,central,red,CRN465,CRN467
CRA511,child,nonlineal,central,blue,CRN468,CRN476
CRA510,child,nonlineal,central,green,CRN468,CRN475
CRA504,unspecified,nonlineal,central,blue,CRN468,CRN469
CRA503,child,lineal,central,red,CRN461,CRN468
CRA508,child,nonlineal,central,brown,CRN468,CRN473
CRA512,child,lineal,central,red,CRN468,CRN477
CRA509,child,nonlineal,central,red,CRN468,CRN474
CRA505,unspecified,nonlineal,central,green,CRN468,CRN470
CRA506,unspecified,nonlineal,central,red,CRN468,CRN471
CRA507,unspecified,nonlineal,central,blue,CRN468,CRN472
CRA504,unspecified,nonlineal,central,blue,CRN468,CRN469
CRA505,unspecified,nonlineal,central,green,CRN468,CRN470
CRA506,unspecified,nonlineal,central,red,CRN468,CRN471
CRA507,unspecified,nonlineal,central,blue,CRN468,CRN472
CRA508,child,nonlineal,central,brown,CRN468,CRN473
CRA509,child,nonlineal,central,red,CRN468,CRN474
CRA510,child,nonlineal,central,green,CRN468,CRN475
CRA511,child,nonlineal,central,blue,CRN468,CRN476
CRA512,child,lineal,central,red,CRN468,CRN477
CRA513,spouse,nonlineal,central,none,CRN477,CRN478
CRA514,spouse,nonlineal,central,none,CRN477,CRN482
CRA527,child,lineal,central,red,CRN477,CRN492
CRA515,child,nonlineal,central,red,CRN478,CRN479
CRA517,child,nonlineal,central,blue,CRN478,CRN481
CRA516,child,nonlineal,central,red,CRN478,CRN480
CRA513,spouse,nonlineal,central,none,CRN477,CRN478
CRA515,child,nonlineal,central,red,CRN478,CRN479
CRA516,child,nonlineal,central,red,CRN478,CRN480
CRA517,child,nonlineal,central,blue,CRN478,CRN481
CRA519,child,nonlineal,central,green,CRN482,CRN484
CRA523,child,nonlineal,central,red,CRN482,CRN488
CRA521,child,nonlineal,central,blue,CRN482,CRN486
CRA524,child,nonlineal,central,green,CRN482,CRN489
CRA526,child,nonlineal,central,red,CRN482,CRN491
CRA529,child,lineal,central,brown,CRN482,CRN494
CRA531,child,lineal,central,red,CRN482,CRN495
CRA520,child,nonlineal,central,none,CRN482,CRN485
CRA525,child,nonlineal,central,blue,CRN482,CRN490
CRA528,child,lineal,central,blue,CRN482,CRN493
CRA514,spouse,nonlineal,central,none,CRN477,CRN482
CRA518,spouse,nonlineal,central,blue,CRN482,CRN483
CRA522,child,nonlineal,central,brown,CRN482,CRN487
CRA518,spouse,nonlineal,central,blue,CRN482,CRN483
CRA519,child,nonlineal,central,green,CRN482,CRN484
CRA520,child,nonlineal,central,none,CRN482,CRN485
CRA521,child,nonlineal,central,blue,CRN482,CRN486
CRA522,child,nonlineal,central,brown,CRN482,CRN487
CRA523,child,nonlineal,central,red,CRN482,CRN488
CRA524,child,nonlineal,central,green,CRN482,CRN489
CRA525,child,nonlineal,central,blue,CRN482,CRN490
CRA526,child,nonlineal,central,red,CRN482,CRN491
CRA649,spouse,nonlineal,french,none,CRN492,CRN609
CRA532,child,nonlineal,central,red,CRN492,CRN496
CRA533,child,nonlineal,central,red,CRN492,CRN498
CRA530,child,nonlineal,central,blue,CRN492,CRN497
CRA527,child,lineal,central,red,CRN477,CRN492
CRA534,child,lineal,central,checkerboard,CRN492,CRN499
CRA528,child,lineal,central,blue,CRN482,CRN493
CRA529,child,lineal,central,brown,CRN482,CRN494
CRA530,child,nonlineal,central,blue,CRN492,CRN497
CRA531,child,lineal,central,red,CRN482,CRN495
CRA532,child,nonlineal,central,red,CRN492,CRN496
CRA533,child,nonlineal,central,red,CRN492,CRN498
CRA584,child,nonlineal,central,red,CRN499,CRN551
CRA583,child,nonlineal,central,black,CRN499,CRN550
CRA541,child,nonlineal,central,red,CRN499,CRN505
CRA575,child,nonlineal,central,blue,CRN499,CRN541
CRA537,grandchild,lineal,central,checkerboard,CRN499,CRN502
CRA542,child,nonlineal,central,green,CRN499,CRN506
CRA539,child,nonlineal,central,blue,CRN499,CRN503
CRA544,child,nonlineal,central,green,CRN499,CRN508
CRA540,child,nonlineal,central,brown,CRN499,CRN504
CRA582,child,nonlineal,central,blue,CRN499,CRN549
CRA580,child,nonlineal,central,red,CRN499,CRN547
CRA534,child,lineal,central,checkerboard,CRN492,CRN499
CRA535,child,nonlineal,central,red,CRN499,CRN500
CRA581,child,nonlineal,central,green,CRN499,CRN548
CRA536,child,nonlineal,central,blue,CRN500,CRN501
CRA535,child,nonlineal,central,red,CRN499,CRN500
CRA538,child,nonlineal,central,checkerboard,CRN500,CRN502
CRA536,child,nonlineal,central,blue,CRN500,CRN501
CRA537,grandchild,lineal,central,checkerboard,CRN499,CRN502
CRA554,nonfamilial,lineal,central,checkerboard,CRN502,CRN519
CRA538,child,nonlineal,central,checkerboard,CRN500,CRN502
CRA539,child,nonlineal,central,blue,CRN499,CRN503
CRA540,child,nonlineal,central,brown,CRN499,CRN504
CRA541,child,nonlineal,central,red,CRN499,CRN505
CRA542,child,nonlineal,central,green,CRN499,CRN506
CRA543,child,nonlineal,central,red,CRN506,CRN507
CRA620,child,nonlineal,central,red,CRN507,CRN579
CRA619,child,nonlineal,central,red,CRN507,CRN578
CRA601,grandchild,nonlineal,central,red,CRN507,CRN595
CRA543,child,nonlineal,central,red,CRN506,CRN507
CRA556,spouse,nonlineal,central,blue,CRN508,CRN521
CRA544,child,nonlineal,central,green,CRN499,CRN508
CRA558,spouse,nonlineal,central,black,CRN508,CRN523
CRA545,spouse,nonlineal,central,green,CRN508,CRN509
CRA603,child,nonlineal,central,blue,CRN509,CRN519
CRA547,child,nonlineal,central,green,CRN509,CRN511
CRA604,child,nonlineal,central,none,CRN509,CRN518
CRA555,child,nonlineal,central,red,CRN509,CRN520
CRA548,child,nonlineal,central,red,CRN509,CRN512
CRA546,child,nonlineal,central,red,CRN509,CRN510
CRA545,spouse,nonlineal,central,green,CRN508,CRN509
CRA546,child,nonlineal,central,red,CRN509,CRN510
CRA547,child,nonlineal,central,green,CRN509,CRN511
CRA553,child,nonlineal,central,red,CRN512,CRN517
CRA552,child,nonlineal,central,blue,CRN512,CRN516
CRA548,child,nonlineal,central,red,CRN509,CRN512
CRA550,child,nonlineal,central,red,CRN512,CRN514
CRA549,child,nonlineal,central,black,CRN512,CRN513
CRA551,child,nonlineal,central,green,CRN512,CRN515
CRA605,unspecified,nonlineal,central,red,CRN513,CRN572
CRA549,child,nonlineal,central,black,CRN512,CRN513
CRA550,child,nonlineal,central,red,CRN512,CRN514
CRA551,child,nonlineal,central,green,CRN512,CRN515
CRA552,child,nonlineal,central,blue,CRN512,CRN516
CRA553,child,nonlineal,central,red,CRN512,CRN517
CRA604,child,nonlineal,central,none,CRN509,CRN518
CRA596,child,nonlineal,central,red,CRN519,CRN564
CRA597,child,nonlineal,central,red,CRN519,CRN565
CRA603,child,nonlineal,central,blue,CRN509,CRN519
CRA598,child,nonlineal,central,red,CRN519,CRN566
CRA594,child,nonlineal,central,red,CRN519,CRN562
CRA554,nonfamilial,lineal,central,checkerboard,CRN502,CRN519
CRA599,child,lineal,central,checkerboard,CRN519,CRN567
CRA595,child,nonlineal,central,red,CRN519,CRN563
CRA555,child,nonlineal,central,red,CRN509,CRN520
CRA602,same,nonlineal,central,red,CRN597,CRN521
CRA556,spouse,nonlineal,central,blue,CRN508,CRN521
CRA557,child,nonlineal,central,blue,CRN521,CRN522
CRA557,child,nonlineal,central,blue,CRN521,CRN522
CRA573,child,nonlineal,central,red,CRN523,CRN539
CRA574,child,nonlineal,central,black,CRN523,CRN540
CRA559,child,nonlineal,central,blue,CRN523,CRN524
CRA608,child,nonlineal,central,none,CRN523,CRN531
CRA558,spouse,nonlineal,central,black,CRN508,CRN523
CRA560,child,nonlineal,central,blue,CRN524,CRN525
CRA559,child,nonlineal,central,blue,CRN523,CRN524
CRA562,child,nonlineal,central,blue,CRN524,CRN527
CRA564,child,nonlineal,central,blue,CRN524,CRN529
CRA561,child,nonlineal,central,blue,CRN524,CRN526
CRA563,child,nonlineal,central,blue,CRN524,CRN528
CRA565,child,nonlineal,central,blue,CRN524,CRN530
CRA560,child,nonlineal,central,blue,CRN524,CRN525
CRA561,child,nonlineal,central,blue,CRN524,CRN526
CRA562,child,nonlineal,central,blue,CRN524,CRN527
CRA563,child,nonlineal,central,blue,CRN524,CRN528
CRA564,child,nonlineal,central,blue,CRN524,CRN529
CRA565,child,nonlineal,central,blue,CRN524,CRN530
CRA569,child,nonlineal,central,brown,CRN531,CRN538
CRA570,child,nonlineal,central,brown,CRN531,CRN535
CRA567,child,nonlineal,central,brown,CRN531,CRN533
CRA608,child,nonlineal,central,none,CRN523,CRN531
CRA568,child,nonlineal,central,brown,CRN531,CRN534
CRA571,child,nonlineal,central,brown,CRN531,CRN536
CRA572,child,nonlineal,central,brown,CRN531,CRN537
CRA566,child,nonlineal,central,brown,CRN531,CRN532
CRA566,child,nonlineal,central,brown,CRN531,CRN532
CRA567,child,nonlineal,central,brown,CRN531,CRN533
CRA568,child,nonlineal,central,brown,CRN531,CRN534
